sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason,test_status,test_file,test_command,test_coverage,test_commit
11,java,god_class,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/ui/fragments/HudFragment.java,build,144,567,106,core/src/mindustry/ui/fragments/HudFragment.java:38,0,nom=16;nof=12;wmc=106;loc=1018;atfd=184,HudFragment,,,TEST_PRESENT_NO_COVERAGE,tests/src/test/java/mindustry/ui/fragments/MindustryHudFragmentCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests mindustry.ui.fragments.MindustryHudFragmentCoverageBoost_ESTest --no-build-cache --no-daemon,,5a7f2c8b28d9
12,java,god_class,Mindustry-v154.3,/opt/projects/Mindustry-v154.3,core/src/mindustry/service/GameService.java,registerEvents,84,523,108,core/src/mindustry/service/GameService.java:33,0,nom=14;nof=9;wmc=108;loc=537;atfd=179,GameService,,,TEST_PRESENT_NO_COVERAGE,tests/src/test/java/MindustryGameServiceCoverageBoost_ESTest.java,./gradlew :tests:cleanTest :tests:test --tests MindustryGameServiceCoverageBoost_ESTest --no-build-cache --no-daemon,,5a7f2c8b28d9
13,java,god_class,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-core/src/main/java/org/jhotdraw/draw/AbstractDrawingView.java,addToSelection,535,566,126,jhotdraw-core/src/main/java/org/jhotdraw/draw/AbstractDrawingView.java:89,0,nom=76;nof=22;wmc=126;loc=1024;atfd=93,AbstractDrawingView,,,TEST_PRESENT_NO_COVERAGE,jhotdraw-core/src/test/java/org/jhotdraw/draw/AbstractDrawingViewCoverageBoost_ESTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jhotdraw-core -am -Dtest=AbstractDrawingViewCoverageBoost_ESTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,78e98d66727f
14,java,god_class,Stirling-PDF-v2.1.5,/opt/projects/Stirling-PDF-v2.1.5,app/proprietary/src/main/java/stirling/software/proprietary/security/controller/api/UserController.java,inviteUsers,409,523,91,app/proprietary/src/main/java/stirling/software/proprietary/security/controller/api/UserController.java:50,0,nom=17;nof=8;wmc=91;loc=847;atfd=140,UserController,,,TEST_PRESENT_NO_COVERAGE,app/proprietary/src/test/java/stirling/software/proprietary/security/controller/api/UserControllerCoverageBoost_ESTest.java,./gradlew -PnoSpotless :proprietary:cleanTest :proprietary:test --tests stirling.software.proprietary.security.controller.api.UserControllerCoverageBoost_ESTest --no-build-cache --no-daemon,,84b47783c530
15,java,god_class,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/type/TypeHandlerRegistry.java,getJdbcHandlerMap,260,282,59,src/main/java/org/apache/ibatis/type/TypeHandlerRegistry.java:57,0,nom=33;nof=6;wmc=59;loc=440;atfd=139,TypeHandlerRegistry,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/ibatis/type/TypeHandlerRegistryTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=TypeHandlerRegistryTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,e366cb7ee72e
16,java,god_class,canal-1.1.8,/opt/projects/canal-1.1.8,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParser.java,findStartPositionInternal,412,521,124,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParser.java:46,0,nom=48;nof=20;wmc=124;loc=946;atfd=84,MysqlEventParser,,,TEST_PRESENT_NO_COVERAGE,parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParserCoverageBoostTest.java;parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParserCoverageBoost_ESTest.java;parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/MysqlEventParserTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl parse -am -Dtest=MysqlEventParserCoverageBoostTest,MysqlEventParserCoverageBoost_ESTest,MysqlEventParserTest -Djacoco.skip=true -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",,5913b85309c4
17,java,god_class,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-gui/src/main/java/org/jhotdraw/gui/JSheet.java,installSheet,146,205,98,jhotdraw-gui/src/main/java/org/jhotdraw/gui/JSheet.java:37,0,nom=47;nof=11;wmc=98;loc=1152;atfd=92,JSheet,,,TEST_PRESENT_NO_COVERAGE,jhotdraw-gui/src/test/java/org/jhotdraw/gui/JSheetCoverageBoost_ESTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jhotdraw-gui -am -Dtest=JSheetCoverageBoost_ESTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,78e98d66727f
18,java,god_class,canal-1.1.8,/opt/projects/canal-1.1.8,client-adapter/phoenix/src/main/java/com/alibaba/otter/canal/client/adapter/phoenix/service/PhoenixSyncService.java,alter,269,369,98,client-adapter/phoenix/src/main/java/com/alibaba/otter/canal/client/adapter/phoenix/service/PhoenixSyncService.java:34,0,nom=13;nof=6;wmc=98;loc=611;atfd=114,PhoenixSyncService,,,TEST_PRESENT_NO_COVERAGE,client-adapter/phoenix/src/test/java/com/alibaba/otter/canal/client/adapter/phoenix/service/PhoenixSyncServiceCoverageBoostTest.java;client-adapter/phoenix/src/test/java/com/alibaba/otter/canal/client/adapter/phoenix/service/PhoenixSyncServiceCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl client-adapter/phoenix -am -Dtest=PhoenixSyncServiceCoverageBoostTest,PhoenixSyncServiceCoverageBoost_ESTest -Djacoco.skip=true -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",,5913b85309c4
19,java,god_class,canal-1.1.8,/opt/projects/canal-1.1.8,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/AbstractEventParser.java,start,144,351,103,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/AbstractEventParser.java:45,0,nom=59;nof=37;wmc=103;loc=676;atfd=80,AbstractEventParser,,,TEST_PRESENT_NO_COVERAGE,parse/src/test/java/com/alibaba/otter/canal/parse/inbound/AbstractEventParserCoverageBoostTest.java;parse/src/test/java/com/alibaba/otter/canal/parse/inbound/AbstractEventParserCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl parse -am -Dtest=AbstractEventParserCoverageBoostTest,AbstractEventParserCoverageBoost_ESTest -Djacoco.skip=true -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",,5913b85309c4
20,java,god_class,canal-1.1.8,/opt/projects/canal-1.1.8,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/DatabaseTableMeta.java,dumpTableMeta,191,252,95,parse/src/main/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/DatabaseTableMeta.java:49,0,nom=35;nof=21;wmc=95;loc=687;atfd=91,DatabaseTableMeta,,,TEST_PRESENT_NO_COVERAGE,parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/DatabaseTableMetaCoverageBoostTest.java;parse/src/test/java/com/alibaba/otter/canal/parse/inbound/mysql/tsdb/DatabaseTableMetaCoverageBoost_ESTest.java,"mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl parse -am -Dtest=DatabaseTableMetaCoverageBoostTest,DatabaseTableMetaCoverageBoost_ESTest -Djacoco.skip=true -Dmaven.test.skip=false -DskipITs -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test -DcloseTestReports=false",,5913b85309c4
21,java,god_class,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-core/src/main/java/org/jhotdraw/draw/figure/AbstractAttributedFigure.java,draw,76,103,81,jhotdraw-core/src/main/java/org/jhotdraw/draw/figure/AbstractAttributedFigure.java:51,0,nom=73;nof=12;wmc=81;loc=552;atfd=56,AbstractAttributedFigure,,,TEST_PRESENT_NO_COVERAGE,jhotdraw-core/src/test/java/org/jhotdraw/draw/figure/AbstractAttributedFigureCoverageBoost_ESTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jhotdraw-core -am -Dtest=AbstractAttributedFigureCoverageBoost_ESTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,78e98d66727f
22,java,god_class,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-core/src/main/java/org/jhotdraw/draw/figure/AbstractAttributedCompositeFigure.java,contains,340,359,87,jhotdraw-core/src/main/java/org/jhotdraw/draw/figure/AbstractAttributedCompositeFigure.java:47,0,nom=59;nof=8;wmc=87;loc=685;atfd=62,AbstractAttributedCompositeFigure,,,TEST_PRESENT_NO_COVERAGE,jhotdraw-core/src/test/java/org/jhotdraw/draw/figure/AbstractAttributedCompositeFigureCoverageBoost_ESTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jhotdraw-core -am -Dtest=AbstractAttributedCompositeFigureCoverageBoost_ESTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,78e98d66727f
23,java,god_class,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/reflection/Reflector.java,resolveGetterConflicts,107,138,61,src/main/java/org/apache/ibatis/reflection/Reflector.java:54,0,nom=34;nof=10;wmc=61;loc=435;atfd=85,Reflector,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/ibatis/reflection/ReflectorTest.java,mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=ReflectorTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,e366cb7ee72e
24,java,god_class,wumpz-jhotdraw-10.2.4,/opt/projects/wumpz-jhotdraw-10.2.4,jhotdraw-app/src/main/java/org/jhotdraw/app/MDIApplication.java,createMenuBar,426,496,51,jhotdraw-app/src/main/java/org/jhotdraw/app/MDIApplication.java:174,0,nom=19;nof=6;wmc=51;loc=529;atfd=97,MDIApplication,,,TEST_PRESENT_NO_COVERAGE,jhotdraw-app/src/test/java/org/jhotdraw/app/MDIApplication_ESTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -pl jhotdraw-app -am -Dtest=MDIApplication_ESTest -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false test,,78e98d66727f
25,java,god_class,mybatis-3,/opt/projects/mybatis-3,src/main/java/org/apache/ibatis/datasource/pooled/PooledDataSource.java,popConnection,435,551,96,src/main/java/org/apache/ibatis/datasource/pooled/PooledDataSource.java:43,0,nom=55;nof=14;wmc=96;loc=602;atfd=56,PooledDataSource,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/ibatis/datasource/pooled/PooledDataSourceTest.java;src/test/java/org/apache/ibatis/jdbc/PooledDataSourceTest.java,"mvn -gs /opt/buildenv/maven-offline-settings.xml -Dmaven.plugin.validation=NONE -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=PooledDataSourceTest,PooledDataSourceTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false",,e366cb7ee72e
26,java,god_class,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java,getMatchingAccessibleMethod,319,352,66,src/main/java/org/apache/commons/lang3/reflect/MethodUtils.java:68,0,nom=34;nof=1;wmc=66;loc=1023;atfd=79,MethodUtils,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/commons/lang3/reflect/MethodUtilsTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=MethodUtilsTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,5f0b2e87a439
27,java,god_class,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/time/FastDateParser.java,getStrategy,923,975,63,src/main/java/org/apache/commons/lang3/time/FastDateParser.java:87,0,nom=23;nof=26;wmc=63;loc=1043;atfd=70,FastDateParser,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=FastDateParserTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,5f0b2e87a439
28,java,god_class,commons-text,/opt/projects/commons-text,src/main/java/org/apache/commons/text/StringTokenizer.java,readWithQuotes,717,795,81,src/main/java/org/apache/commons/text/StringTokenizer.java:94,0,nom=64;nof=11;wmc=81;loc=952;atfd=30,StringTokenizer,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/commons/text/StringTokenizerTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Dtest=StringTokenizerTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,35725d9e8815
29,java,god_class,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java,reflectionAppend,923,983,103,src/main/java/org/apache/commons/lang3/builder/EqualsBuilder.java:89,0,nom=42;nof=7;wmc=103;loc=1021;atfd=36,EqualsBuilder,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/commons/lang3/builder/EqualsBuilderTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=EqualsBuilderTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,5f0b2e87a439
30,java,god_class,commons-lang-3.20.0,/opt/projects/commons-lang-3.20.0,src/main/java/org/apache/commons/lang3/RandomStringUtils.java,random,255,391,68,src/main/java/org/apache/commons/lang3/RandomStringUtils.java:81,0,nom=45;nof=13;wmc=68;loc=934;atfd=45,RandomStringUtils,,,TEST_PRESENT_NO_COVERAGE,src/test/java/org/apache/commons/lang3/RandomStringUtilsTest.java,mvn -Dcheckstyle.skip=true -Dspotless.check.skip=true -Dspotless.apply.skip=true -Dpmd.skip=true -Drat.skip=true -Dtest=RandomStringUtilsTest test -DfailIfNoTests=false -Dsurefire.failIfNoSpecifiedTests=false,,5f0b2e87a439
