sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
11,python,dead_code,luigi,/opt/projects/python/luigi,luigi/execution_summary.py,_serialize_first_param(task),303,304,0,/opt/projects/python/luigi/luigi/execution_summary.py:method=_serialize_first_param(task)|line=303,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
12,python,dead_code,tornado,/opt/projects/python/tornado,tornado/gen.py,"_fake_ctx_run(f, *args, **kw)",156,157,0,"/opt/projects/python/tornado/tornado/gen.py:method=_fake_ctx_run(f, *args, **kw)|line=156",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=2; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
13,python,dead_code,pytest,/opt/projects/python/pytest,src/_pytest/_io/pprint.py,_safe_tuple(t),54,56,0,/opt/projects/python/pytest/src/_pytest/_io/pprint.py:method=_safe_tuple(t)|line=54,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
14,python,dead_code,salt,/opt/projects/python/salt,salt/modules/aixpkg.py,_is_installed_rpm(name),79,84,0,/opt/projects/python/salt/salt/modules/aixpkg.py:method=_is_installed_rpm(name)|line=79,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
15,python,dead_code,ray,/opt/projects/python/ray,python/ray/_private/object_ref_generator.py,_get_next_ref(self),178,186,0,/opt/projects/python/ray/python/ray/_private/object_ref_generator.py:method=_get_next_ref(self)|line=178,0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=9; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
16,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/gemini/autolog.py,"_get_keys(dic, keys)",190,195,0,"/opt/projects/python/mlflow/mlflow/gemini/autolog.py:method=_get_keys(dic, keys)|line=190",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
17,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster/dagster/_config/errors.py,_get_type_msg(type_in_context),107,111,0,/opt/projects/python/dagster/python_modules/dagster/dagster/_config/errors.py:method=_get_type_msg(type_in_context)|line=107,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
18,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/migrations/db_types.py,_mssql_TIMESTAMP(),33,40,0,/opt/projects/python/airflow/airflow-core/src/airflow/migrations/db_types.py:method=_mssql_TIMESTAMP()|line=33,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
19,python,dead_code,yt-dlp,/opt/projects/python/yt-dlp,yt_dlp/extractor/common.py,"_media_rating_search(self, html)",1544,1558,0,"/opt/projects/python/yt-dlp/yt_dlp/extractor/common.py:method=_media_rating_search(self, html)|line=1544",0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=15; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
20,python,dead_code,dbt-core,/opt/projects/python/dbt-core,core/dbt/contracts/graph/manifest.py,"_expect_value(key, src, old_file, name)",1983,1989,0,"/opt/projects/python/dbt-core/core/dbt/contracts/graph/manifest.py:method=_expect_value(key, src, old_file, name)|line=1983",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=7; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
21,python,dead_code,dask,/opt/projects/python/dask,dask/array/utils.py,_dtype_of(a),419,426,0,/opt/projects/python/dask/dask/array/utils.py:method=_dtype_of(a)|line=419,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
22,python,dead_code,fsspec,/opt/projects/python/fsspec,fsspec/gui.py,"_repr_mimebundle_(self, *args, **kwargs)",93,100,0,"/opt/projects/python/fsspec/fsspec/gui.py:method=_repr_mimebundle_(self, *args, **kwargs)|line=93",0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
23,python,dead_code,prefect,/opt/projects/python/prefect,src/prefect/server/api/deployments.py,_multiple_schedules_error(deployment_id),53,62,0,/opt/projects/python/prefect/src/prefect/server/api/deployments.py:method=_multiple_schedules_error(deployment_id)|line=53,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=10; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
24,python,dead_code,luigi,/opt/projects/python/luigi,luigi/process.py,_server_already_running(pidfile),70,74,0,/opt/projects/python/luigi/luigi/process.py:method=_server_already_running(pidfile)|line=70,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
25,python,dead_code,salt,/opt/projects/python/salt,salt/modules/aixpkg.py,"_is_installed(name, **kwargs)",223,234,0,"/opt/projects/python/salt/salt/modules/aixpkg.py:method=_is_installed(name, **kwargs)|line=223",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=12; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
26,python,dead_code,ray,/opt/projects/python/ray,python/ray/_private/runtime_env/conda_utils.py,_get_conda_env_name(conda_env_path),84,86,0,/opt/projects/python/ray/python/ray/_private/runtime_env/conda_utils.py:method=_get_conda_env_name(conda_env_path)|line=84,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
27,python,dead_code,mlflow,/opt/projects/python/mlflow,mlflow/genai/evaluation/utils.py,"_extract_attribute(trace_data, attribute_name)",233,236,0,"/opt/projects/python/mlflow/mlflow/genai/evaluation/utils.py:method=_extract_attribute(trace_data, attribute_name)|line=233",0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
28,python,dead_code,dagster,/opt/projects/python/dagster,python_modules/dagster/dagster/_core/definitions/declarative_automation/automation_context.py,_has_legacy_condition(condition),44,49,0,/opt/projects/python/dagster/python_modules/dagster/dagster/_core/definitions/declarative_automation/automation_context.py:method=_has_legacy_condition(condition)|line=44,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
29,python,dead_code,airflow,/opt/projects/python/airflow,airflow-core/src/airflow/migrations/db_types.py,_mysql_TIMESTAMP(),43,50,0,/opt/projects/python/airflow/airflow-core/src/airflow/migrations/db_types.py:method=_mysql_TIMESTAMP()|line=43,0,kind=unused_private_function; member_kind=function; visibility=private; refs=0; loc=8; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
30,python,dead_code,yt-dlp,/opt/projects/python/yt-dlp,yt_dlp/extractor/common.py,"_twitter_search_player(self, html)",1576,1578,0,"/opt/projects/python/yt-dlp/yt_dlp/extractor/common.py:method=_twitter_search_player(self, html)|line=1576",0,kind=unused_private_function; member_kind=method; visibility=private; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration
