sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
11,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/iostream.py,_handle_events,668,719,112,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/iostream.py:class=BaseIOStream|line=198,0,nom=36;nof=25;wmc=112;loc=846;atfd=15,BaseIOStream,,
12,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/simple_httpclient.py,run,283,442,73,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/simple_httpclient.py:class=_HTTPConnection|line=247,0,nom=16;nof=21;wmc=73;loc=445;atfd=23,_HTTPConnection,,
13,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/websocket.py,_receive_frame,1133,1214,82,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/websocket.py:class=WebSocketProtocol13|line=814,0,nom=21;nof=26;wmc=82;loc=568;atfd=24,WebSocketProtocol13,,
14,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/http1connection.py,_read_message,185,305,85,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/http1connection.py:class=HTTP1Connection|line=106,0,nom=22;nof=19;wmc=85;loc=594;atfd=21,HTTP1Connection,,
15,python,god_class,dagster,/Users/a1-6/Code/Project/Python_Project/dagster,python_modules/dagster/dagster/_core/definitions/job_definition.py,_resolve_configs,478,527,78,/Users/a1-6/Code/Project/Python_Project/dagster/python_modules/dagster/dagster/_core/definitions/job_definition.py:class=JobDefinition|line=98,0,nom=84;nof=57;wmc=78;loc=1526;atfd=0,JobDefinition,,
16,python,god_class,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/init.py,handle,69,252,49,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/init.py:class=InitCommand|line=29,0,nom=8;nof=1;wmc=49;loc=470;atfd=27,InitCommand,,
17,python,god_class,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/sessions.py,send,745,822,32,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/sessions.py:class=Session|line=395,0,nom=19;nof=12;wmc=32;loc=504;atfd=15,Session,,
18,python,god_class,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/settings/__init__.py,getdictorlist,276,323,64,/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/settings/__init__.py:class=BaseSettings|line=83,0,nom=38;nof=1;wmc=64;loc=620;atfd=15,BaseSettings,,
19,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/ioloop.py,run_sync,455,541,42,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/ioloop.py:class=IOLoop|line=67,0,nom=29;nof=1;wmc=42;loc=756;atfd=15,IOLoop,,
20,python,god_class,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/puzzle/provider.py,complete_package,472,698,184,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/puzzle/provider.py:class=Provider|line=109,0,nom=27;nof=65;wmc=184;loc=955;atfd=0,Provider,,
21,python,god_class,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/show.py,_display_packages_information,202,396,72,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/show.py:class=ShowCommand|line=35,0,nom=11;nof=0;wmc=72;loc=550;atfd=20,ShowCommand,,
22,python,god_class,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/auth.py,build_digest_header,157,266,32,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/auth.py:class=HTTPDigestAuth|line=124,0,nom=8;nof=3;wmc=32;loc=231;atfd=18,HTTPDigestAuth,,
23,python,god_class,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/scraper.py,_scrape,244,283,40,/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/scraper.py:class=Scraper|line=102,0,nom=20;nof=1;wmc=40;loc=441;atfd=18,Scraper,,
24,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/web.py,get,2769,2850,43,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/web.py:class=StaticFileHandler|line=2685,0,nom=14;nof=6;wmc=43;loc=528;atfd=10,StaticFileHandler,,
25,python,god_class,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/fields/__init__.py,_check_choices,307,377,113,/Users/a1-6/Code/Project/Python_Project/django/django/db/models/fields/__init__.py:class=Field|line=113,0,nom=54;nof=27;wmc=113;loc=976;atfd=26,Field,,
26,python,god_class,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/repositories/http_repository.py,_get_info_from_links,195,330,46,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/repositories/http_repository.py:class=HTTPRepository|line=46,0,nom=10;nof=4;wmc=46;loc=387;atfd=27,HTTPRepository,,
27,python,god_class,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/models.py,prepare_url,481,561,44,/Users/a1-6/Code/Project/Python_Project/requests/src/requests/models.py:class=PreparedRequest|line=376,0,nom=12;nof=7;wmc=44;loc=352;atfd=7,PreparedRequest,,
28,python,god_class,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/commands/parse.py,_get_callback,305,338,52,/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/commands/parse.py:class=Command|line=38,0,nom=22;nof=3;wmc=52;loc=376;atfd=15,Command,,
29,python,god_class,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/deletion.py,collect,247,401,71,/Users/a1-6/Code/Project/Python_Project/django/django/db/models/deletion.py:class=Collector|line=96,0,nom=15;nof=7;wmc=71;loc=427;atfd=31,Collector,,
30,python,god_class,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/web.py,__init__,2193,2247,28,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/web.py:class=Application|line=2110,0,nom=11;nof=6;wmc=28;loc=314;atfd=16,Application,,
