sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
18,python,nested_complexity,django,/opt/projects/python/django,django/db/migrations/executor.py,"migration_plan(self, targets, clean_start=False)",22,71,6,"/opt/projects/python/django/django/db/migrations/executor.py:method=migration_plan(self, targets, clean_start=False)|line=22",0
19,python,nested_complexity,django,/opt/projects/python/django,django/db/models/constraints.py,"validate(self, model, instance, exclude=None, using=DEFAULT_DB_ALIAS)",307,371,6,"/opt/projects/python/django/django/db/models/constraints.py:method=validate(self, model, instance, exclude=None, using=DEFAULT_DB_ALIAS)|line=307",0
20,python,nested_complexity,django,/opt/projects/python/django,django/db/models/query.py,"prefetch_related_objects(model_instances, *related_lookups)",2220,2371,6,"/opt/projects/python/django/django/db/models/query.py:method=prefetch_related_objects(model_instances, *related_lookups)|line=2220",0
21,python,nested_complexity,django,/opt/projects/python/django,django/forms/models.py,validate_unique(self),791,882,6,/opt/projects/python/django/django/forms/models.py:method=validate_unique(self)|line=791,0
22,python,nested_complexity,django,/opt/projects/python/django,django/http/multipartparser.py,_parse(self),131,363,6,/opt/projects/python/django/django/http/multipartparser.py:method=_parse(self)|line=131,0
23,python,nested_complexity,django,/opt/projects/python/django,django/contrib/admin/templatetags/admin_list.py,date_hierarchy(cl),351,460,5,/opt/projects/python/django/django/contrib/admin/templatetags/admin_list.py:method=date_hierarchy(cl)|line=351,0
24,python,nested_complexity,django,/opt/projects/python/django,django/contrib/auth/management/commands/createsuperuser.py,"handle(self, *args, **options)",90,248,5,"/opt/projects/python/django/django/contrib/auth/management/commands/createsuperuser.py:method=handle(self, *args, **options)|line=90",0
25,python,nested_complexity,django,/opt/projects/python/django,django/contrib/contenttypes/views.py,"shortcut(request, content_type_id, object_id)",9,88,5,"/opt/projects/python/django/django/contrib/contenttypes/views.py:method=shortcut(request, content_type_id, object_id)|line=9",0
26,python,nested_complexity,django,/opt/projects/python/django,django/contrib/gis/utils/layermapping.py,check_layer(self),191,306,5,/opt/projects/python/django/django/contrib/gis/utils/layermapping.py:method=check_layer(self)|line=191,0
27,python,nested_complexity,django,/opt/projects/python/django,django/contrib/gis/utils/ogrinfo.py,"ogrinfo(data_source, num_features=10)",11,53,5,"/opt/projects/python/django/django/contrib/gis/utils/ogrinfo.py:method=ogrinfo(data_source, num_features=10)|line=11",0
28,python,nested_complexity,django,/opt/projects/python/django,django/contrib/postgres/constraints.py,"validate(self, model, instance, exclude=None, using=DEFAULT_DB_ALIAS)",194,233,5,"/opt/projects/python/django/django/contrib/postgres/constraints.py:method=validate(self, model, instance, exclude=None, using=DEFAULT_DB_ALIAS)|line=194",0
29,python,nested_complexity,django,/opt/projects/python/django,django/core/management/commands/inspectdb.py,"handle_inspection(self, options)",54,263,5,"/opt/projects/python/django/django/core/management/commands/inspectdb.py:method=handle_inspection(self, options)|line=54",0
30,python,nested_complexity,django,/opt/projects/python/django,django/core/management/commands/makemessages.py,"find_files(self, root)",535,587,5,"/opt/projects/python/django/django/core/management/commands/makemessages.py:method=find_files(self, root)|line=535",0
