sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test
13,python,long_method,requests,/Users/a1-6/Code/Project/Python_Project/requests,src/requests/sessions.py,"resolve_redirects(self, resp: Response, req: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None, yield_requests: bool = False, **adapter_kwargs: Any,)",186,307,81,"/Users/a1-6/Code/Project/Python_Project/requests/src/requests/sessions.py:method=resolve_redirects(self, resp: Response, req: PreparedRequest, stream: bool = False, timeout: _t.TimeoutType = None, verify: _t.VerifyType = True, cert: _t.CertType = None, proxies: dict[str, str] | None = None, yield_requests: bool = False, **adapter_kwargs: Any,)|line=186",0
14,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/spidermw.py,"_process_spider_output(# noqa: PLR0912 self, response: Response, result: Iterable[_T] | AsyncIterator[_T], start_index: int = 0,)",219,308,75,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/spidermw.py:method=_process_spider_output(# noqa: PLR0912 self, response: Response, result: Iterable[_T] | AsyncIterator[_T], start_index: int = 0,)|line=219",0
15,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/simple_httpclient.py,run(self),283,442,146,/Users/a1-6/Code/Project/Python_Project/tornado/tornado/simple_httpclient.py:method=run(self)|line=283,0
16,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/migrations/operations/models.py,"reduce(self, operation, app_label)",136,371,236,"/Users/a1-6/Code/Project/Python_Project/django/django/db/migrations/operations/models.py:method=reduce(self, operation, app_label)|line=136",0
17,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/add.py,handle(self),100,277,134,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/add.py:method=handle(self)|line=100,0
18,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/commands/parse.py,"add_options(self, parser: argparse.ArgumentParser)",54,121,68,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/commands/parse.py:method=add_options(self, parser: argparse.ArgumentParser)|line=54",0
19,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/http1connection.py,"_read_message(self, delegate: httputil.HTTPMessageDelegate)",185,305,109,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/http1connection.py:method=_read_message(self, delegate: httputil.HTTPMessageDelegate)|line=185",0
20,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/fields/related_descriptors.py,"create_reverse_many_to_one_manager(superclass, rel)",632,928,225,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/fields/related_descriptors.py:method=create_reverse_many_to_one_manager(superclass, rel)|line=632",0
21,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/console/commands/config.py,handle(self),87,269,133,/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/console/commands/config.py:method=handle(self)|line=87,0
22,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/core/http2/stream.py,"close(self, reason: StreamCloseReason, errors: Sequence[BaseException] | None = None, from_protocol: bool = False,)",397,491,64,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/core/http2/stream.py:method=close(self, reason: StreamCloseReason, errors: Sequence[BaseException] | None = None, from_protocol: bool = False,)|line=397",0
23,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/locale.py,"format_date(self, date: int | float | datetime.datetime, gmt_offset: int = 0, relative: bool = True, shorter: bool = False, full_format: bool = False,)",329,433,79,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/locale.py:method=format_date(self, date: int | float | datetime.datetime, gmt_offset: int = 0, relative: bool = True, shorter: bool = False, full_format: bool = False,)|line=329",0
24,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/base.py,"__new__(cls, name, bases, attrs, **kwargs)",95,367,208,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/base.py:method=__new__(cls, name, bases, attrs, **kwargs)|line=95",0
25,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/mixology/failure.py,"_visit(self, incompatibility: Incompatibility, conclusion: bool = False,)",107,231,115,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/mixology/failure.py:method=_visit(self, incompatibility: Incompatibility, conclusion: bool = False,)|line=107",0
26,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/pipelines/files.py,"media_downloaded(self, response: Response, request: Request, info: MediaPipeline.SpiderInfo, *, item: Any = None,)",616,682,62,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/pipelines/files.py:method=media_downloaded(self, response: Response, request: Request, info: MediaPipeline.SpiderInfo, *, item: Any = None,)|line=616",0
27,python,long_method,tornado,/Users/a1-6/Code/Project/Python_Project/tornado,tornado/httpclient.py,"__init__(self, url: str, method: str = ""GET"", headers: dict[str, str] | httputil.HTTPHeaders | None = None, body: bytes | str | None = None, auth_username: str | None = None, auth_password: str | None = None, auth_mode: str | None = None, connect_timeout: float | None = None, request_timeout: float | None = None, if_modified_since: float | datetime.datetime | None = None, follow_redirects: bool | None = None, max_redirects: int | None = None, user_agent: str | None = None, use_gzip: bool | None = None, network_interface: str | None = None, streaming_callback: None | (Callable[[bytes], Awaitable[None] | None]) = None, header_callback: Callable[[str], None] | None = None, prepare_curl_callback: Callable[[Any], None] | None = None, proxy_host: str | None = None, proxy_port: int | None = None, proxy_username: str | None = None, proxy_password: str | None = None, proxy_auth_mode: str | None = None, allow_nonstandard_methods: bool | None = None, validate_cert: bool | None = None, ca_certs: str | None = None, allow_ipv6: bool | None = None, client_key: str | None = None, client_cert: str | None = None, body_producer: None | (Callable[[Callable[[bytes], None]], ""Future[None]""]) = None, expect_100_continue: bool = False, decompress_response: bool | None = None, ssl_options: dict[str, Any] | ssl.SSLContext | None = None,)",358,549,77,"/Users/a1-6/Code/Project/Python_Project/tornado/tornado/httpclient.py:method=__init__(self, url: str, method: str = ""GET"", headers: dict[str, str] | httputil.HTTPHeaders | None = None, body: bytes | str | None = None, auth_username: str | None = None, auth_password: str | None = None, auth_mode: str | None = None, connect_timeout: float | None = None, request_timeout: float | None = None, if_modified_since: float | datetime.datetime | None = None, follow_redirects: bool | None = None, max_redirects: int | None = None, user_agent: str | None = None, use_gzip: bool | None = None, network_interface: str | None = None, streaming_callback: None | (Callable[[bytes], Awaitable[None] | None]) = None, header_callback: Callable[[str], None] | None = None, prepare_curl_callback: Callable[[Any], None] | None = None, proxy_host: str | None = None, proxy_port: int | None = None, proxy_username: str | None = None, proxy_password: str | None = None, proxy_auth_mode: str | None = None, allow_nonstandard_methods: bool | None = None, validate_cert: bool | None = None, ca_certs: str | None = None, allow_ipv6: bool | None = None, client_key: str | None = None, client_cert: str | None = None, body_producer: None | (Callable[[Callable[[bytes], None]], ""Future[None]""]) = None, expect_100_continue: bool = False, decompress_response: bool | None = None, ssl_options: dict[str, Any] | ssl.SSLContext | None = None,)|line=358",0
28,python,long_method,django,/Users/a1-6/Code/Project/Python_Project/django,django/db/models/fields/related.py,"_check_relationship_model(self, from_model=None, **kwargs)",1440,1668,205,"/Users/a1-6/Code/Project/Python_Project/django/django/db/models/fields/related.py:method=_check_relationship_model(self, from_model=None, **kwargs)|line=1440",0
29,python,long_method,poetry,/Users/a1-6/Code/Project/Python_Project/poetry,src/poetry/installation/executor.py,"_execute_operation(self, operation: Operation)",257,372,107,"/Users/a1-6/Code/Project/Python_Project/poetry/src/poetry/installation/executor.py:method=_execute_operation(self, operation: Operation)|line=257",0
30,python,long_method,scrapy,/Users/a1-6/Code/Project/Python_Project/scrapy,scrapy/utils/deprecate.py,"create_deprecated_class(name: str, new_class: type, clsdict: dict[str, Any] | None = None, warn_category: type[Warning] = ScrapyDeprecationWarning, warn_once: bool = True, old_class_path: str | None = None, new_class_path: str | None = None, subclass_warn_message: str = ""{cls} inherits from deprecated class {old}, please inherit from {new}."", instance_warn_message: str = ""{cls} is deprecated, instantiate {new} instead."",)",26,135,62,"/Users/a1-6/Code/Project/Python_Project/scrapy/scrapy/utils/deprecate.py:method=create_deprecated_class(name: str, new_class: type, clsdict: dict[str, Any] | None = None, warn_category: type[Warning] = ScrapyDeprecationWarning, warn_once: bool = True, old_class_path: str | None = None, new_class_path: str | None = None, subclass_warn_message: str = ""{cls} inherits from deprecated class {old}, please inherit from {new}."", instance_warn_message: str = ""{cls} is deprecated, instantiate {new} instead."",)|line=26",0
