sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,target_context_json
11,cpp,feature_envy,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,src/google/protobuf/descriptor.cc,"ValidateFieldFeatures(const FieldDescriptor* field, const FieldDescriptorProto& proto)",8124,8224,48,"/opt/projects/cpp/protobuf-29.3/src/google/protobuf/descriptor.cc:method=ValidateFieldFeatures(const FieldDescriptor* field, const FieldDescriptorProto& proto)|line=8124",0,envied_type=FieldDescriptor; foreign_access=48; foreign_ratio=0.84,"{""receiver_type"":""field""}"
12,cpp,feature_envy,yaml-cpp,/opt/projects/cpp/yaml-cpp,src/simplekey.cpp,InsertPotentialSimpleKey(),58,80,12,/opt/projects/cpp/yaml-cpp/src/simplekey.cpp:method=InsertPotentialSimpleKey()|line=58,0,envied_receiver=key; foreign_access=12; foreign_ratio=0.67,"{""receiver_type"":""key""}"
13,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmDocumentation.cxx,"CheckOptions(int argc, char const* const* argv, char const* exitOpt)",311,486,77,"/opt/projects/cpp/CMake/Source/cmDocumentation.cxx:method=CheckOptions(int argc, char const* const* argv, char const* exitOpt)|line=311",0,envied_receiver=help; foreign_access=77; foreign_ratio=0.81,"{""receiver_type"":""help""}"
14,cpp,feature_envy,json-3.11.3,/opt/projects/cpp/json-3.11.3,include/nlohmann/detail/output/binary_writer.hpp,write_cbor(const BasicJsonType& j),89,408,149,/opt/projects/cpp/json-3.11.3/include/nlohmann/detail/output/binary_writer.hpp:method=write_cbor(const BasicJsonType& j)|line=89,0,envied_type=BasicJsonType; foreign_access=149; foreign_ratio=0.79,"{""receiver_type"":""j""}"
15,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmGlobalFastbuildGenerator.cxx,"AddCompiler(std::string const& language, cmMakefile* mf)",976,1090,73,"/opt/projects/cpp/CMake/Source/cmGlobalFastbuildGenerator.cxx:method=AddCompiler(std::string const& language, cmMakefile* mf)|line=976",0,envied_receiver=compilerDef; foreign_access=73; foreign_ratio=0.79,"{""receiver_type"":""compilerDef""}"
16,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmFastbuildNormalTargetGenerator.cxx,Generate(),891,1037,70,/opt/projects/cpp/CMake/Source/cmFastbuildNormalTargetGenerator.cxx:method=Generate()|line=891,0,envied_receiver=fastbuildTarget; foreign_access=70; foreign_ratio=0.61,"{""receiver_type"":""fastbuildTarget""}"
17,cpp,feature_envy,OpenTTD,/opt/projects/cpp/OpenTTD,src/widget.cpp,"ApplyNWidgetPartAttribute(const NWidgetPart &nwid, NWidgetBase *dest)",3171,3279,114,"/opt/projects/cpp/OpenTTD/src/widget.cpp:method=ApplyNWidgetPartAttribute(const NWidgetPart &nwid, NWidgetBase *dest)|line=3171",0,envied_type=NWidgetPart; foreign_access=114; foreign_ratio=0.87,"{""receiver_type"":""nwid""}"
18,cpp,feature_envy,duckdb,/opt/projects/cpp/duckdb,extension/parquet/parquet_writer.cpp,"SetSchemaProperties(const LogicalType &duckdb_type, duckdb_parquet::SchemaElement &schema_ele, bool allow_geometry, ClientContext &context, bool write_timestamp_as_int96, TimeStampIsAdjustedToUTC timestamp_is_adjusted_to_utc)",194,351,162,"/opt/projects/cpp/duckdb/extension/parquet/parquet_writer.cpp:method=SetSchemaProperties(const LogicalType &duckdb_type, duckdb_parquet::SchemaElement &schema_ele, bool allow_geometry, ClientContext &context, bool write_timestamp_as_int96, TimeStampIsAdjustedToUTC timestamp_is_adjusted_to_utc)|line=194",0,envied_type=SchemaElement; foreign_access=162; foreign_ratio=0.94,"{""receiver_type"":""schema_ele""}"
19,cpp,feature_envy,json-3.11.3,/opt/projects/cpp/json-3.11.3,single_include/nlohmann/json.hpp,write_cbor(const BasicJsonType& j),15128,15447,149,/opt/projects/cpp/json-3.11.3/single_include/nlohmann/json.hpp:method=write_cbor(const BasicJsonType& j)|line=15128,0,envied_type=BasicJsonType; foreign_access=149; foreign_ratio=0.79,"{""receiver_type"":""j""}"
20,cpp,feature_envy,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,XML/src/xmlparse.cpp,"doContent(XML_Parser parser, int startTagLevel, const ENCODING *enc, const char *s, const char *end, const char **nextPtr, XML_Bool haveMore, enum XML_Account account)",2962,3442,135,"/opt/projects/cpp/poco-poco-1.14.2-release/XML/src/xmlparse.cpp:method=doContent(XML_Parser parser, int startTagLevel, const ENCODING *enc, const char *s, const char *end, const char **nextPtr, XML_Bool haveMore, enum XML_Account account)|line=2962",0,envied_type=XML_Parser; foreign_access=135; foreign_ratio=0.62,"{""receiver_type"":""parser""}"
21,cpp,feature_envy,rocksdb,/opt/projects/cpp/rocksdb,db/memtable.cc,"SaveValue(void* arg, const char* entry)",1271,1515,151,"/opt/projects/cpp/rocksdb/db/memtable.cc:method=SaveValue(void* arg, const char* entry)|line=1271",0,envied_receiver=s; foreign_access=151; foreign_ratio=0.88,"{""receiver_type"":""s""}"
22,cpp,feature_envy,OpenTTD,/opt/projects/cpp/OpenTTD,src/os/windows/string_uniscribe.cpp,"UniscribeShapeRun(const UniscribeParagraphLayoutFactory::CharType *buff, UniscribeRun &range)",162,252,98,"/opt/projects/cpp/OpenTTD/src/os/windows/string_uniscribe.cpp:method=UniscribeShapeRun(const UniscribeParagraphLayoutFactory::CharType *buff, UniscribeRun &range)|line=162",0,envied_type=UniscribeRun; foreign_access=98; foreign_ratio=0.99,"{""receiver_type"":""range""}"
23,cpp,feature_envy,Catch2,/opt/projects/cpp/Catch2,src/catch2/reporters/catch_reporter_helpers.cpp,"printTestRunTotals(std::ostream& stream, ColourImpl& streamColour, Totals const& totals)",298,341,30,"/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_helpers.cpp:method=printTestRunTotals(std::ostream& stream, ColourImpl& streamColour, Totals const& totals)|line=298",0,envied_type=Totals; foreign_access=30; foreign_ratio=0.64,"{""receiver_type"":""totals""}"
24,cpp,feature_envy,OpenTTD,/opt/projects/cpp/OpenTTD,src/train_cmd.cpp,"TrainLocoHandler(Train *consist, bool mode)",4027,4168,76,"/opt/projects/cpp/OpenTTD/src/train_cmd.cpp:method=TrainLocoHandler(Train *consist, bool mode)|line=4027",0,envied_type=Train; foreign_access=76; foreign_ratio=0.73,"{""receiver_type"":""consist""}"
25,cpp,feature_envy,duckdb,/opt/projects/cpp/duckdb,src/execution/operator/csv_scanner/scanner/string_value_scanner.cpp,HandleErrors(StringValueResult &result),676,805,126,/opt/projects/cpp/duckdb/src/execution/operator/csv_scanner/scanner/string_value_scanner.cpp:method=HandleErrors(StringValueResult &result)|line=676,0,envied_type=StringValueResult; foreign_access=126; foreign_ratio=0.85,"{""receiver_type"":""result""}"
26,cpp,feature_envy,json-3.11.3,/opt/projects/cpp/json-3.11.3,include/nlohmann/detail/output/serializer.hpp,"dump(const BasicJsonType& val, const bool pretty_print, const bool ensure_ascii, const unsigned int indent_step, const unsigned int current_indent = 0)",107,374,137,"/opt/projects/cpp/json-3.11.3/include/nlohmann/detail/output/serializer.hpp:method=dump(const BasicJsonType& val, const bool pretty_print, const bool ensure_ascii, const unsigned int indent_step, const unsigned int current_indent = 0)|line=107",0,envied_type=BasicJsonType; foreign_access=137; foreign_ratio=0.64,"{""receiver_type"":""val""}"
27,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmCMakePresetsGraph.cxx,"CheckExpandMacros(TestPreset const& preset, cm::optional<TestPreset>& out, MacroExpanderVector const& macroExpanders, cmCMakePresetsGraph const* graph = nullptr)",360,407,48,"/opt/projects/cpp/CMake/Source/cmCMakePresetsGraph.cxx:method=CheckExpandMacros(TestPreset const& preset, cm::optional<TestPreset>& out, MacroExpanderVector const& macroExpanders, cmCMakePresetsGraph const* graph = nullptr)|line=360",0,envied_receiver=out; foreign_access=48; foreign_ratio=0.94,"{""receiver_type"":""out""}"
28,cpp,feature_envy,OpenTTD,/opt/projects/cpp/OpenTTD,src/vehicle.cpp,VehicleEnterDepot(Vehicle *v),1562,1692,64,/opt/projects/cpp/OpenTTD/src/vehicle.cpp:method=VehicleEnterDepot(Vehicle *v)|line=1562,0,envied_type=Vehicle; foreign_access=64; foreign_ratio=0.73,"{""receiver_type"":""v""}"
29,cpp,feature_envy,CMake,/opt/projects/cpp/CMake,Source/cmGlobalFastbuildGenerator.cxx,"WriteLinker(FastbuildLinkerNode const& LinkerNode, bool allowDistribution)",1266,1344,42,"/opt/projects/cpp/CMake/Source/cmGlobalFastbuildGenerator.cxx:method=WriteLinker(FastbuildLinkerNode const& LinkerNode, bool allowDistribution)|line=1266",0,envied_type=FastbuildLinkerNode; foreign_access=42; foreign_ratio=0.98,"{""receiver_type"":""LinkerNode""}"
30,cpp,feature_envy,Catch2,/opt/projects/cpp/Catch2,src/catch2/reporters/catch_reporter_console.cpp,printTotalsDivider(Totals const& totals),626,655,20,/opt/projects/cpp/Catch2/src/catch2/reporters/catch_reporter_console.cpp:method=printTotalsDivider(Totals const& totals)|line=626,0,envied_type=Totals; foreign_access=20; foreign_ratio=0.77,"{""receiver_type"":""totals""}"
