sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,a_file,a_method,a_begin_line,a_end_line,a_method_begin,a_method_end,b_file,b_method,b_begin_line,b_end_line,b_method_begin,b_method_end,clone_group_id,tokens,lines,group_size
12,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,190,/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/Environment_UNIX.cpp:method=EnvironmentImpl::nodeIdImpl(NodeId& id)|line=295;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/Environment_UNIX.cpp:method=EnvironmentImpl::nodeIdImpl(NodeId& id)|line=343,0,,Foundation/src/Environment_UNIX.cpp,EnvironmentImpl::nodeIdImpl(NodeId& id),295,324,295,324,Foundation/src/Environment_UNIX.cpp,EnvironmentImpl::nodeIdImpl(NodeId& id),343,372,343,372,poco-poco-1.14.2-release::clone_123::pair_1,190,30,2
13,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,112,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=SingularString::GenerateSwappingCode(io::Printer* p)|line=584;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=SingularStringView::GenerateSwappingCode(io::Printer* p)|line=401,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,SingularString::GenerateSwappingCode(io::Printer* p),584,607,584,607,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,SingularStringView::GenerateSwappingCode(io::Printer* p),401,424,401,424,protobuf-29.3::clone_32::pair_1,112,24,2
14,cpp,code_clone_type1,Catch2,/opt/projects/cpp/Catch2,,,,,25,/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<char const*>::convert(char const* str)|line=134;/opt/projects/cpp/Catch2/src/catch2/catch_tostring.cpp:method=StringMaker<char*>::convert(char* str)|line=141,0,,src/catch2/catch_tostring.cpp,StringMaker<char const*>::convert(char const* str),134,140,134,140,src/catch2/catch_tostring.cpp,StringMaker<char*>::convert(char* str),141,147,141,147,Catch2::clone_2::pair_1,25,7,2
15,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,169,/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/ConsoleChannel.cpp:method=ColorConsoleChannel::getProperty(const std::string& name)|line=147;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/WindowsConsoleChannel.cpp:method=WindowsColorConsoleChannel::getProperty(const std::string& name)|line=157,0,,Foundation/src/ConsoleChannel.cpp,ColorConsoleChannel::getProperty(const std::string& name),147,189,147,189,Foundation/src/WindowsConsoleChannel.cpp,WindowsColorConsoleChannel::getProperty(const std::string& name),157,199,157,199,poco-poco-1.14.2-release::clone_115::pair_1,169,43,2
16,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,111,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=RepeatedString::GenerateSerializeWithCachedSizesToArray(io::Printer* p)|line=967;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=RepeatedStringView::GenerateSerializeWithCachedSizesToArray(io::Printer* p)|line=799,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,RepeatedString::GenerateSerializeWithCachedSizesToArray(io::Printer* p),967,982,967,982,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,RepeatedStringView::GenerateSerializeWithCachedSizesToArray(io::Printer* p),799,814,799,814,protobuf-29.3::clone_40::pair_1,111,16,2
17,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,164,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/ieee.h:method=NormalizedBoundaries(DiyFp* out_m_minus, DiyFp* out_m_plus)|line=191;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/ieee.h:method=NormalizedBoundaries(DiyFp* out_m_minus, DiyFp* out_m_plus)|line=383",0,,Foundation/src/ieee.h,"NormalizedBoundaries(DiyFp* out_m_minus, DiyFp* out_m_plus)",191,205,191,205,Foundation/src/ieee.h,"NormalizedBoundaries(DiyFp* out_m_minus, DiyFp* out_m_plus)",383,397,383,397,poco-poco-1.14.2-release::clone_164::pair_1,164,15,2
18,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,100,"/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/lite/message_builder.cc:method=MessageBuilderLiteGenerator::MessageBuilderLiteGenerator(const Descriptor* descriptor, Context* context)|line=36;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/lite/message.cc:method=ImmutableMessageLiteGenerator::ImmutableMessageLiteGenerator(const Descriptor* descriptor, Context* context)|line=56",0,,src/google/protobuf/compiler/java/lite/message_builder.cc,"MessageBuilderLiteGenerator::MessageBuilderLiteGenerator(const Descriptor* descriptor, Context* context)",36,51,36,51,src/google/protobuf/compiler/java/lite/message.cc,"ImmutableMessageLiteGenerator::ImmutableMessageLiteGenerator(const Descriptor* descriptor, Context* context)",56,71,56,71,protobuf-29.3::clone_82::pair_1,100,16,2
19,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,135,/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/NotificationQueue.cpp:method=NotificationQueue::waitDequeueNotification(long milliseconds)|line=102;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/PriorityNotificationQueue.cpp:method=PriorityNotificationQueue::waitDequeueNotification(long milliseconds)|line=85,0,,Foundation/src/NotificationQueue.cpp,NotificationQueue::waitDequeueNotification(long milliseconds),102,132,102,132,Foundation/src/PriorityNotificationQueue.cpp,PriorityNotificationQueue::waitDequeueNotification(long milliseconds),85,115,85,115,poco-poco-1.14.2-release::clone_144::pair_1,135,31,2
20,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,88,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=SingularString::GenerateAggregateInitializer(io::Printer* p)|line=711;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=SingularStringView::GenerateAggregateInitializer(io::Printer* p)|line=528,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,SingularString::GenerateAggregateInitializer(io::Printer* p),711,726,711,726,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,SingularStringView::GenerateAggregateInitializer(io::Printer* p),528,543,528,543,protobuf-29.3::clone_37::pair_1,88,16,2
21,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,128,/opt/projects/cpp/poco-poco-1.14.2-release/NetSSL_OpenSSL/src/SSLManager.cpp:method=SSLManager::initPassphraseHandler(bool server)|line=560;/opt/projects/cpp/poco-poco-1.14.2-release/NetSSL_Win/src/SSLManager.cpp:method=SSLManager::initPassphraseHandler(bool server)|line=263,0,,NetSSL_OpenSSL/src/SSLManager.cpp,SSLManager::initPassphraseHandler(bool server),560,584,560,584,NetSSL_Win/src/SSLManager.cpp,SSLManager::initPassphraseHandler(bool server),263,287,263,287,poco-poco-1.14.2-release::clone_219::pair_1,128,25,2
22,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,87,"/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/full/enum.cc:method=EnumNonLiteGenerator::EnumNonLiteGenerator(const EnumDescriptor* descriptor, bool immutable_api, Context* context)|line=37;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/java/lite/enum.cc:method=EnumLiteGenerator::EnumLiteGenerator(const EnumDescriptor* descriptor, bool immutable_api, Context* context)|line=33",0,,src/google/protobuf/compiler/java/full/enum.cc,"EnumNonLiteGenerator::EnumNonLiteGenerator(const EnumDescriptor* descriptor, bool immutable_api, Context* context)",37,57,37,57,src/google/protobuf/compiler/java/lite/enum.cc,"EnumLiteGenerator::EnumLiteGenerator(const EnumDescriptor* descriptor, bool immutable_api, Context* context)",33,53,33,53,protobuf-29.3::clone_58::pair_1,87,21,2
23,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,120,"/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD4Engine.cpp:method=MD4Engine::encode(unsigned char* output, const UInt32* input, std::size_t len)|line=262;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/src/MD5Engine.cpp:method=MD5Engine::encode(unsigned char* output, const UInt32* input, std::size_t len)|line=293",0,,Foundation/src/MD4Engine.cpp,"MD4Engine::encode(unsigned char* output, const UInt32* input, std::size_t len)",262,273,262,273,Foundation/src/MD5Engine.cpp,"MD5Engine::encode(unsigned char* output, const UInt32* input, std::size_t len)",293,304,293,304,poco-poco-1.14.2-release::clone_138::pair_1,120,12,2
24,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,86,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=GenerateByteSize(io::Printer* p)|line=803;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=GenerateByteSize(io::Printer* p)|line=620,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,GenerateByteSize(io::Printer* p),803,812,803,812,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,GenerateByteSize(io::Printer* p),620,629,620,629,protobuf-29.3::clone_39::pair_1,86,10,2
25,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,111,"/opt/projects/cpp/poco-poco-1.14.2-release/Zip/src/ZipDataInfo.cpp:method=ZipDataInfo::ZipDataInfo(std::istream& in, bool assumeHeaderRead)|line=38;/opt/projects/cpp/poco-poco-1.14.2-release/Zip/src/ZipDataInfo.cpp:method=ZipDataInfo64::ZipDataInfo64(std::istream& in, bool assumeHeaderRead)|line=78",0,,Zip/src/ZipDataInfo.cpp,"ZipDataInfo::ZipDataInfo(std::istream& in, bool assumeHeaderRead)",38,57,38,57,Zip/src/ZipDataInfo.cpp,"ZipDataInfo64::ZipDataInfo64(std::istream& in, bool assumeHeaderRead)",78,98,78,98,poco-poco-1.14.2-release::clone_284::pair_1,111,21,2
26,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,86,"/opt/projects/cpp/protobuf-29.3/src/google/protobuf/proto3_arena_unittest.cc:method=TEST(Proto3OptionalTest, OptionalFields)|line=245;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/proto3_arena_unittest.cc:method=TEST(Proto3OptionalTest, OptionalField)|line=343",0,,src/google/protobuf/proto3_arena_unittest.cc,"TEST(Proto3OptionalTest, OptionalFields)",245,259,245,259,src/google/protobuf/proto3_arena_unittest.cc,"TEST(Proto3OptionalTest, OptionalField)",343,357,343,357,protobuf-29.3::clone_112::pair_1,86,15,2
27,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,105,/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/include/Poco/PriorityStrategy.h:method=add(const TDelegate& delegate)|line=64;/opt/projects/cpp/poco-poco-1.14.2-release/Foundation/include/Poco/PriorityStrategy.h:method=add(const TDelegate& delegate)|line=157,0,,Foundation/include/Poco/PriorityStrategy.h,add(const TDelegate& delegate),64,78,64,78,Foundation/include/Poco/PriorityStrategy.h,add(const TDelegate& delegate),157,171,157,171,poco-poco-1.14.2-release::clone_102::pair_1,105,15,2
28,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,85,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/enum_field.cc:method=GenerateMergingCode(io::Printer* p)|line=257;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/primitive_field.cc:method=GenerateMergingCode(io::Printer* p)|line=306,0,,src/google/protobuf/compiler/cpp/field_generators/enum_field.cc,GenerateMergingCode(io::Printer* p),257,274,257,274,src/google/protobuf/compiler/cpp/field_generators/primitive_field.cc,GenerateMergingCode(io::Printer* p),306,323,306,323,protobuf-29.3::clone_13::pair_1,85,18,4
29,cpp,code_clone_type1,poco-poco-1.14.2-release,/opt/projects/cpp/poco-poco-1.14.2-release,,,,,104,"/opt/projects/cpp/poco-poco-1.14.2-release/NetSSL_OpenSSL/src/KeyFileHandler.cpp:method=KeyFileHandler::onPrivateKeyRequested(const void* pSender, std::string& privateKey)|line=40;/opt/projects/cpp/poco-poco-1.14.2-release/NetSSL_Win/src/KeyFileHandler.cpp:method=KeyFileHandler::onPrivateKeyRequested(const void* pSender, std::string& privateKey)|line=40",0,,NetSSL_OpenSSL/src/KeyFileHandler.cpp,"KeyFileHandler::onPrivateKeyRequested(const void* pSender, std::string& privateKey)",40,58,40,58,NetSSL_Win/src/KeyFileHandler.cpp,"KeyFileHandler::onPrivateKeyRequested(const void* pSender, std::string& privateKey)",40,58,40,58,poco-poco-1.14.2-release::clone_208::pair_1,104,19,2
30,cpp,code_clone_type1,protobuf-29.3,/opt/projects/cpp/protobuf-29.3,,,,,85,/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:method=SingularString::GenerateClearingCode(io::Printer* p)|line=516;/opt/projects/cpp/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc:method=SingularStringView::GenerateClearingCode(io::Printer* p)|line=341,0,,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,SingularString::GenerateClearingCode(io::Printer* p),516,535,516,535,src/google/protobuf/compiler/cpp/field_generators/string_view_field.cc,SingularStringView::GenerateClearingCode(io::Printer* p),341,360,341,360,protobuf-29.3::clone_30::pair_1,85,20,2
