17,cpp,dead_code,spdlog-1.14.1,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1,include/spdlog/sinks/dist_sink.h,set_sinks(std::vector<std::shared_ptr<sink>> sinks),42,45,0,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1/include/spdlog/sinks/dist_sink.h:method=set_sinks(std::vector<std::shared_ptr<sink>> sinks)|line=42,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=dist_sink
18,cpp,dead_code,yaml-cpp,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp,include/yaml-cpp/contrib/graphbuilder.h,AsBuilderInterface(),85,85,0,/Users/a1-6/Code/Project/CPP_Project/yaml-cpp/include/yaml-cpp/contrib/graphbuilder.h:method=AsBuilderInterface()|line=85,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=1; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=GraphBuilder
19,cpp,dead_code,rocksdb,/Users/a1-6/Code/Project/CPP_Project/rocksdb,db/snapshot_impl.h,GetNewest(),156,161,0,/Users/a1-6/Code/Project/CPP_Project/rocksdb/db/snapshot_impl.h:method=GetNewest()|line=156,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=6; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=SnapshotList
20,cpp,dead_code,duckdb,/Users/a1-6/Code/Project/CPP_Project/duckdb,extension/parquet/include/parquet_support.hpp,setReadOffset(vector_size_t readOffset),226,228,0,/Users/a1-6/Code/Project/CPP_Project/duckdb/extension/parquet/include/parquet_support.hpp:method=setReadOffset(vector_size_t readOffset)|line=226,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=SelectiveColumnReader
21,cpp,dead_code,CMake,/Users/a1-6/Code/Project/CPP_Project/CMake,Source/cmArchiveWrite.h,ClearUIDAndGID(),125,129,0,/Users/a1-6/Code/Project/CPP_Project/CMake/Source/cmArchiveWrite.h:method=ClearUIDAndGID()|line=125,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=cmArchiveWrite
22,cpp,dead_code,OpenTTD,/Users/a1-6/Code/Project/CPP_Project/OpenTTD,src/3rdparty/fmt/std.h,generic_display_string() const,174,177,0,/Users/a1-6/Code/Project/CPP_Project/OpenTTD/src/3rdparty/fmt/std.h:method=generic_display_string() const|line=174,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=path
23,cpp,dead_code,aria2,/Users/a1-6/Code/Project/CPP_Project/aria2,src/DefaultPieceStorage.h,getPieceStatMan(),288,291,0,/Users/a1-6/Code/Project/CPP_Project/aria2/src/DefaultPieceStorage.h:method=getPieceStatMan()|line=288,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=DefaultPieceStorage
24,cpp,dead_code,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,upb/base/status.hpp,SetErrorMessage(const char* msg),33,35,0,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/upb/base/status.hpp:method=SetErrorMessage(const char* msg)|line=33,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=Status
25,cpp,dead_code,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/ODBC/include/Poco/Data/ODBC/ODBCException.h,errorString(const H& handle),130,134,0,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/ODBC/include/Poco/Data/ODBC/ODBCException.h:method=errorString(const H& handle)|line=130,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=HandleException
26,cpp,dead_code,spdlog-1.14.1,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1,include/spdlog/sinks/qt_sinks.h,set_default_color(QTextCharFormat format),94,97,0,/Users/a1-6/Code/Project/CPP_Project/spdlog-1.14.1/include/spdlog/sinks/qt_sinks.h:method=set_default_color(QTextCharFormat format)|line=94,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=4; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=qt_color_sink
27,cpp,dead_code,rocksdb,/Users/a1-6/Code/Project/CPP_Project/rocksdb,db/version_builder.cc,GetAdditionalGarbageCount() const,117,119,0,/Users/a1-6/Code/Project/CPP_Project/rocksdb/db/version_builder.cc:method=GetAdditionalGarbageCount() const|line=117,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=3; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=BlobFileMetaDataDelta
28,cpp,dead_code,duckdb,/Users/a1-6/Code/Project/CPP_Project/duckdb,extension/parquet/include/parquet_support.hpp,setOutputRows(RowSet rows),244,250,0,/Users/a1-6/Code/Project/CPP_Project/duckdb/extension/parquet/include/parquet_support.hpp:method=setOutputRows(RowSet rows)|line=244,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=7; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=SelectiveColumnReader
29,cpp,dead_code,CMake,/Users/a1-6/Code/Project/CPP_Project/CMake,Source/cmArchiveWrite.h,ClearUNAMEAndGNAME(),140,144,0,/Users/a1-6/Code/Project/CPP_Project/CMake/Source/cmArchiveWrite.h:method=ClearUNAMEAndGNAME()|line=140,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=private_inline_method; guard_tier=single_location; class=cmArchiveWrite
30,cpp,dead_code,OpenTTD,/Users/a1-6/Code/Project/CPP_Project/OpenTTD,src/3rdparty/nlohmann/json.hpp,clear_subtype() noexcept,5960,5964,0,/Users/a1-6/Code/Project/CPP_Project/OpenTTD/src/3rdparty/nlohmann/json.hpp:method=clear_subtype() noexcept|line=5960,0,kind=unused_private_function; member_kind=function; visibility=static; refs=0; loc=5; detector=semantic_static_detector; validation=no_call_or_identifier_reference_outside_declaration; form=anonymous_namespace_function; guard_tier=single_location; anonymous_namespace=1
