sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
11,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/FIFOBuffer.h,advance,332,355,81,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/FIFOBuffer.h:class=BasicFIFOBuffer|line=33,0,nom=54;nof=10;wmc=81;loc=513;atfd=8,BasicFIFOBuffer,,
12,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/AbstractCache.h,doGet,322,348,42,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/AbstractCache.h:class=AbstractCache|line=37,0,nom=41;nof=10;wmc=42;loc=340;atfd=19,AbstractCache,,
13,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/LinearHashTable.h,begin,275,288,50,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/LinearHashTable.h:class=LinearHashTable|line=32,0,nom=46;nof=11;wmc=50;loc=463;atfd=6,LinearHashTable,,
14,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Encodings/Compiler/src/TextEncodingCompiler.cpp,readMapping,149,171,41,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Encodings/Compiler/src/TextEncodingCompiler.cpp:class=TextEncodingCompiler|line=47,0,nom=27;nof=9;wmc=41;loc=242;atfd=20,TextEncodingCompiler,,
15,cpp,god_class,fmt,/Users/a1-6/Code/Project/CPP_Project/fmt,include/fmt/chrono.h,on_second,1563,1582,77,/Users/a1-6/Code/Project/CPP_Project/fmt/include/fmt/chrono.h:class=tm_writer|line=1168,0,nom=67;nof=6;wmc=77;loc=452;atfd=12,tm_writer,,
16,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Net/include/Poco/Net/UDPHandler.h,next,92,140,53,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Net/include/Poco/Net/UDPHandler.h:class=UDPHandlerImpl|line=45,0,nom=37;nof=18;wmc=53;loc=334;atfd=10,UDPHandlerImpl,,
17,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/cpp/field.h,PushVarsForCall,226,241,46,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/cpp/field.h:class=FieldGenerator|line=222,0,nom=46;nof=7;wmc=46;loc=282;atfd=19,FieldGenerator,,
18,cpp,god_class,fmt,/Users/a1-6/Code/Project/CPP_Project/fmt,include/fmt/chrono.h,on_second,1931,1954,63,/Users/a1-6/Code/Project/CPP_Project/fmt/include/fmt/chrono.h:class=chrono_formatter|line=1760,0,nom=53;nof=7;wmc=63;loc=235;atfd=10,chrono_formatter,,
19,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,PageCompiler/src/PageCompiler.cpp,write,284,335,35,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/PageCompiler/src/PageCompiler.cpp:class=CompilerApp|line=54,0,nom=30;nof=9;wmc=35;loc=334;atfd=18,CompilerApp,,
20,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/NamedTuple.h,get,273,330,101,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/NamedTuple.h:class=NamedTuple|line=72,0,nom=18;nof=1;wmc=101;loc=414;atfd=3,NamedTuple,,
21,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Trace/src/symbols/dwarf/dwarf.hpp,dwarf5_ranges,282,357,81,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Trace/src/symbols/dwarf/dwarf.hpp:class=die_object|line=36,0,nom=28;nof=2;wmc=81;loc=432;atfd=10,die_object,,
22,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Foundation/include/Poco/SharedPtr.h,SharedPtr,119,123,50,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Foundation/include/Poco/SharedPtr.h:class=SharedPtr|line=89,0,nom=50;nof=2;wmc=50;loc=375;atfd=4,SharedPtr,,
23,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/map.h,ResizeIfLoadIsOutOfRange,1056,1085,30,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/map.h:class=KeyMapBase|line=921,0,nom=13;nof=0;wmc=30;loc=239;atfd=33,KeyMapBase,,
24,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,ActiveRecord/Compiler/src/Compiler.cpp,resolveForeignKeys,118,145,22,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/ActiveRecord/Compiler/src/Compiler.cpp:class=CompilerApp|line=40,0,nom=16;nof=1;wmc=22;loc=189;atfd=20,CompilerApp,,
25,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/text_format.cc,Write,1557,1586,26,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/text_format.cc:class=TextFormat::Printer::TextGenerator|line=1454,0,nom=14;nof=8;wmc=26;loc=183;atfd=20,TextFormat::Printer::TextGenerator,,
26,cpp,god_class,poco-poco-1.14.2-release,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release,Data/ODBC/include/Poco/Data/ODBC/Diagnostics.h,diagnostics,144,219,24,/Users/a1-6/Code/Project/CPP_Project/poco-poco-1.14.2-release/Data/ODBC/include/Poco/Data/ODBC/Diagnostics.h:class=Diagnostics|line=41,0,nom=18;nof=12;wmc=24;loc=202;atfd=4,Diagnostics,,
27,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/compiler/cpp/field_generators/string_field.cc,RequiresArena,90,96,20,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/compiler/cpp/field_generators/string_field.cc:class=SingularString|line=66,0,nom=17;nof=15;wmc=20;loc=139;atfd=6,SingularString,,
28,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/descriptor.cc,AllocateFieldNames,468,523,36,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/descriptor.cc:class=FlatAllocatorImpl|line=377,0,nom=19;nof=9;wmc=36;loc=198;atfd=17,FlatAllocatorImpl,,
29,cpp,god_class,json-3.11.3,/Users/a1-6/Code/Project/CPP_Project/json-3.11.3,include/nlohmann/detail/output/serializer.hpp,dump,107,374,45,/Users/a1-6/Code/Project/CPP_Project/json-3.11.3/include/nlohmann/detail/output/serializer.hpp:class=serializer|line=51,0,nom=5;nof=8;wmc=45;loc=537;atfd=14,serializer,,
30,cpp,god_class,protobuf-29.3,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3,src/google/protobuf/descriptor.cc,GetFile,682,705,66,/Users/a1-6/Code/Project/CPP_Project/protobuf-29.3/src/google/protobuf/descriptor.cc:class=Symbol|line=591,0,nom=11;nof=5;wmc=66;loc=179;atfd=10,Symbol,,
