sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence
17,c,feature_envy,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_graph.c,"graph_paint_timestring(image_desc_t *im, int lazy, int cnt)",3923,4402,172,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_graph.c:method=graph_paint_timestring(image_desc_t *im, int lazy, int cnt)|line=3923",0,envied_type=image_desc_t; foreign_access=172; foreign_ratio=0.66
18,c,feature_envy,tmux,/Users/a1-6/Code/Project/C_Project/tmux,cmd-find.c,"cmd_find_get_window_with_session(struct cmd_find_state *fs, const char *window)",347,496,102,"/Users/a1-6/Code/Project/C_Project/tmux/cmd-find.c:method=cmd_find_get_window_with_session(struct cmd_find_state *fs, const char *window)|line=347",0,envied_type=cmd_find_state; foreign_access=102; foreign_ratio=0.86
19,c,feature_envy,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"print(const cJSON * const item, cJSON_bool format, const internal_hooks * const hooks)",1234,1299,18,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=print(const cJSON * const item, cJSON_bool format, const internal_hooks * const hooks)|line=1234",0,envied_receiver=buffer; foreign_access=18; foreign_ratio=0.72
20,c,feature_envy,git,/Users/a1-6/Code/Project/C_Project/git,merge-ort.c,"process_entry(struct merge_options *opt, const char *path, struct conflict_info *ci, struct directory_versions *dir_metadata)",4073,4442,190,"/Users/a1-6/Code/Project/C_Project/git/merge-ort.c:method=process_entry(struct merge_options *opt, const char *path, struct conflict_info *ci, struct directory_versions *dir_metadata)|line=4073",0,envied_type=conflict_info; foreign_access=190; foreign_ratio=0.64
21,c,feature_envy,libevent,/Users/a1-6/Code/Project/C_Project/libevent,bufferevent_ratelim.c,"bufferevent_decrement_write_buckets_(struct bufferevent_private *bev, ev_ssize_t bytes)",310,346,44,"/Users/a1-6/Code/Project/C_Project/libevent/bufferevent_ratelim.c:method=bufferevent_decrement_write_buckets_(struct bufferevent_private *bev, ev_ssize_t bytes)|line=310",0,envied_type=bufferevent_private; foreign_access=44; foreign_ratio=1.00
22,c,feature_envy,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/scp.c,"scp_recv(LIBSSH2_SESSION *session, const char *path, libssh2_struct_stat *sb)",279,798,144,"/Users/a1-6/Code/Project/C_Project/libssh2/src/scp.c:method=scp_recv(LIBSSH2_SESSION *session, const char *path, libssh2_struct_stat *sb)|line=279",0,envied_type=LIBSSH2_SESSION; foreign_access=144; foreign_ratio=0.97
23,c,feature_envy,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/http/modules/ngx_http_fastcgi_module.c,"ngx_http_fastcgi_merge_loc_conf(ngx_conf_t *cf, void *parent, void *child)",2953,3321,209,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_fastcgi_module.c:method=ngx_http_fastcgi_merge_loc_conf(ngx_conf_t *cf, void *parent, void *child)|line=2953",0,envied_receiver=conf; foreign_access=209; foreign_ratio=0.65
24,c,feature_envy,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"parse_string(cJSON * const item, parse_buffer * const input_buffer)",819,946,15,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=parse_string(cJSON * const item, parse_buffer * const input_buffer)|line=819",0,envied_receiver=input_buffer; foreign_access=15; foreign_ratio=0.88
25,c,feature_envy,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/rtsp.c,"rtsp_do(struct Curl_easy *data, bool *done)",273,578,104,"/Users/a1-6/Code/Project/C_Project/curl/lib/rtsp.c:method=rtsp_do(struct Curl_easy *data, bool *done)|line=273",0,envied_type=Curl_easy; foreign_access=104; foreign_ratio=0.96
26,c,feature_envy,git,/Users/a1-6/Code/Project/C_Project/git,unpack-trees.c,"unpack_trees(unsigned len, struct tree_desc *t, struct unpack_trees_options *o)",1883,2121,174,"/Users/a1-6/Code/Project/C_Project/git/unpack-trees.c:method=unpack_trees(unsigned len, struct tree_desc *t, struct unpack_trees_options *o)|line=1883",0,envied_type=unpack_trees_options; foreign_access=174; foreign_ratio=0.95
27,c,feature_envy,libevent,/Users/a1-6/Code/Project/C_Project/libevent,event.c,event_reinit(struct event_base *base),980,1086,44,/Users/a1-6/Code/Project/C_Project/libevent/event.c:method=event_reinit(struct event_base *base)|line=980,0,envied_type=event_base; foreign_access=44; foreign_ratio=0.94
28,c,feature_envy,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,src/userauth.c,"_libssh2_userauth_publickey(LIBSSH2_SESSION *session, const char *username, size_t username_len, const unsigned char *pubkeydata, size_t pubkeydata_len, LIBSSH2_USERAUTH_PUBLICKEY_SIGN_FUNC(*sign_callback), void *abstract)",1534,1926,139,"/Users/a1-6/Code/Project/C_Project/libssh2/src/userauth.c:method=_libssh2_userauth_publickey(LIBSSH2_SESSION *session, const char *username, size_t username_len, const unsigned char *pubkeydata, size_t pubkeydata_len, LIBSSH2_USERAUTH_PUBLICKEY_SIGN_FUNC(*sign_callback), void *abstract)|line=1534",0,envied_type=LIBSSH2_SESSION; foreign_access=139; foreign_ratio=1.00
29,c,feature_envy,lua,/Users/a1-6/Code/Project/C_Project/lua,lcode.c,"luaK_indexed(FuncState *fs, expdesc *t, expdesc *k)",1357,1392,33,"/Users/a1-6/Code/Project/C_Project/lua/lcode.c:method=luaK_indexed(FuncState *fs, expdesc *t, expdesc *k)|line=1357",0,envied_type=expdesc; foreign_access=33; foreign_ratio=0.79
30,c,feature_envy,cJSON,/Users/a1-6/Code/Project/C_Project/cJSON,cJSON.c,"cJSON_DetachItemViaPointer(cJSON *parent, cJSON * const item)",2243,2277,13,"/Users/a1-6/Code/Project/C_Project/cJSON/cJSON.c:method=cJSON_DetachItemViaPointer(cJSON *parent, cJSON * const item)|line=2243",0,envied_receiver=item; foreign_access=13; foreign_ratio=0.68
