sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_false_positive,evidence,class,host_class,fp_reason
13,c,god_class,libssh2,/opt/projects/c/libssh2,src/transport.c,_libssh2_transport_read,375,916,334,/opt/projects/c/libssh2/src/transport.c:class=transport|line=1,0,nom=6;nof=0;wmc=334;loc=1322;atfd=0,transport,,
14,c,god_class,libuv,/opt/projects/c/libuv,src/unix/stream.c,uv__read,1025,1157,321,/opt/projects/c/libuv/src/unix/stream.c:class=stream|line=1,0,nom=41;nof=0;wmc=321;loc=1567;atfd=0,stream,,
15,c,god_class,libuv,/opt/projects/c/libuv,src/unix/udp.c,uv__udp_sendmsgv,1302,1362,287,/opt/projects/c/libuv/src/unix/udp.c:class=udp|line=1,0,nom=39;nof=0;wmc=287;loc=1434;atfd=0,udp,,
16,c,god_class,libuv,/opt/projects/c/libuv,src/unix/process.c,uv__process_child_init,287,417,285,/opt/projects/c/libuv/src/unix/process.c:class=process|line=1,0,nom=24;nof=0;wmc=285;loc=1123;atfd=0,process,,
17,c,god_class,lua,/opt/projects/c/lua,lapi.c,lua_gc,1171,1249,299,/opt/projects/c/lua/lapi.c:class=lapi|line=1,0,nom=96;nof=1;wmc=299;loc=1479;atfd=0,lapi,,
18,c,god_class,lua,/opt/projects/c/lua,lgc.c,reallymarkobject,339,372,547,/opt/projects/c/lua/lgc.c:class=lgc|line=1,0,nom=74;nof=0;wmc=547;loc=1804;atfd=0,lgc,,
19,c,god_class,lua,/opt/projects/c/lua,ltable.c,equalkey,252,283,358,/opt/projects/c/lua/ltable.c:class=ltable|line=1,0,nom=60;nof=2;wmc=358;loc=1355;atfd=0,ltable,,
20,c,god_class,nginx,/opt/projects/c/nginx,src/http/ngx_http_upstream_round_robin.c,ngx_http_upstream_init_round_robin,36,454,201,/opt/projects/c/nginx/src/http/ngx_http_upstream_round_robin.c:class=ngx_http_upstream_round_robin|line=1,0,nom=13;nof=0;wmc=201;loc=1279;atfd=0,ngx_http_upstream_round_robin,,
21,c,god_class,nginx,/opt/projects/c/nginx,src/os/unix/ngx_process_cycle.c,ngx_channel_handler,1000,1085,312,/opt/projects/c/nginx/src/os/unix/ngx_process_cycle.c:class=ngx_process_cycle|line=1,0,nom=15;nof=26;wmc=312;loc=1191;atfd=0,ngx_process_cycle,,
22,c,god_class,nginx,/opt/projects/c/nginx,src/mail/ngx_mail_proxy_module.c,ngx_mail_proxy_read_response,966,1148,556,/opt/projects/c/nginx/src/mail/ngx_mail_proxy_module.c:class=ngx_mail_proxy_module|line=1,0,nom=14;nof=4;wmc=556;loc=1411;atfd=0,ngx_mail_proxy_module,,
23,c,god_class,redis,/opt/projects/c/redis,src/t_list.c,lposCommand,1005,1102,326,/opt/projects/c/redis/src/t_list.c:class=t_list|line=1,0,nom=60;nof=0;wmc=326;loc=1470;atfd=0,t_list,,
24,c,god_class,redis,/opt/projects/c/redis,src/t_string.c,parseExtendedStringArgumentsOrReply,297,425,358,/opt/projects/c/redis/src/t_string.c:class=t_string|line=1,0,nom=32;nof=0;wmc=358;loc=1235;atfd=0,t_string,,
25,c,god_class,redis,/opt/projects/c/redis,src/functions.c,functionRestoreCommand,727,807,148,/opt/projects/c/redis/src/functions.c:class=functions|line=1,0,nom=46;nof=8;wmc=148;loc=1138;atfd=0,functions,,
26,c,god_class,redis,/opt/projects/c/redis,src/tls.c,tlsHandleEvent,688,810,330,/opt/projects/c/redis/src/tls.c:class=tls|line=1,0,nom=52;nof=0;wmc=330;loc=1297;atfd=0,tls,,
27,c,god_class,rrdtool,/opt/projects/c/rrdtool,src/rrd_restore.c,parse_tag_rra_params,681,797,692,/opt/projects/c/rrdtool/src/rrd_restore.c:class=rrd_restore|line=1,0,nom=28;nof=2;wmc=692;loc=1431;atfd=0,rrd_restore,,
28,c,god_class,rrdtool,/opt/projects/c/rrdtool,src/rrd_xport.c,rrd_xport_format_addprints,1094,1412,866,/opt/projects/c/rrdtool/src/rrd_xport.c:class=rrd_xport|line=1,0,nom=9;nof=0;wmc=866;loc=1412;atfd=0,rrd_xport,,
29,c,god_class,tmux,/opt/projects/c/tmux,cmd-find.c,cmd_find_target,922,1254,434,/opt/projects/c/tmux/cmd-find.c:class=cmd-find|line=1,0,nom=31;nof=3;wmc=434;loc=1329;atfd=0,cmd-find,,
30,c,god_class,tmux,/opt/projects/c/tmux,screen-redraw.c,screen_redraw_pane_border,120,212,416,/opt/projects/c/tmux/screen-redraw.c:class=screen-redraw|line=1,0,nom=23;nof=0;wmc=416;loc=1147;atfd=0,screen-redraw,,
