sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,a_file,a_method,a_begin_line,a_end_line,a_method_begin,a_method_end,b_file,b_method,b_begin_line,b_end_line,b_method_begin,b_method_end,clone_group_id,tokens,lines,group_size
11,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,30,"/Users/a1-6/Code/Project/C_Project/redis/src/t_hash.c:method=hashReplyFromListpackEntry(client *c, listpackEntry *e)|line=1860;/Users/a1-6/Code/Project/C_Project/redis/src/t_zset.c:method=zsetReplyFromListpackEntry(client *c, listpackEntry *e)|line=1919",0,,src/t_hash.c,"hashReplyFromListpackEntry(client *c, listpackEntry *e)",1860,1865,1860,1865,src/t_zset.c,"zsetReplyFromListpackEntry(client *c, listpackEntry *e)",1919,1924,1919,1924,redis::clone_14::pair_1,30,6,2
12,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,56,/Users/a1-6/Code/Project/C_Project/libuv/src/unix/netbsd.c:method=uv_get_free_memory(void)|line=100;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/openbsd.c:method=uv_get_free_memory(void)|line=113,0,,src/unix/netbsd.c,uv_get_free_memory(void),100,109,100,109,src/unix/openbsd.c,uv_get_free_memory(void),113,122,113,122,libuv::clone_4::pair_1,56,10,2
13,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,73,"/Users/a1-6/Code/Project/C_Project/nginx/src/mail/ngx_mail_imap_handler.c:method=ngx_mail_imap_starttls(ngx_mail_session_t *s, ngx_connection_t *c)|line=458;/Users/a1-6/Code/Project/C_Project/nginx/src/mail/ngx_mail_pop3_handler.c:method=ngx_mail_pop3_stls(ngx_mail_session_t *s, ngx_connection_t *c)|line=401",0,,src/mail/ngx_mail_imap_handler.c,"ngx_mail_imap_starttls(ngx_mail_session_t *s, ngx_connection_t *c)",458,477,458,477,src/mail/ngx_mail_pop3_handler.c,"ngx_mail_pop3_stls(ngx_mail_session_t *s, ngx_connection_t *c)",401,420,401,420,nginx::clone_7::pair_1,73,20,2
14,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,24,"/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=evalGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3567;/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=blmpopGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3582",0,,src/db.c,"evalGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3567,3570,3567,3570,src/db.c,"blmpopGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3582,3585,3582,3585,redis::clone_5::pair_2,24,4,4
15,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,24,/Users/a1-6/Code/Project/C_Project/libuv/src/unix/ibmi.c:method=uv_get_free_memory(void)|line=227;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/ibmi.c:method=uv_get_total_memory(void)|line=237,0,,src/unix/ibmi.c,uv_get_free_memory(void),227,234,227,234,src/unix/ibmi.c,uv_get_total_memory(void),237,244,237,244,libuv::clone_2::pair_1,24,8,2
16,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,62,"/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_alloc.c:method=ngx_alloc(size_t size, ngx_log_t *log)|line=17;/Users/a1-6/Code/Project/C_Project/nginx/src/os/win32/ngx_alloc.c:method=ngx_alloc(size_t size, ngx_log_t *log)|line=17",0,,src/os/unix/ngx_alloc.c,"ngx_alloc(size_t size, ngx_log_t *log)",17,31,17,31,src/os/win32/ngx_alloc.c,"ngx_alloc(size_t size, ngx_log_t *log)",17,30,17,30,nginx::clone_8::pair_1,62,15,2
17,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,24,"/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=evalGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3567;/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=functionGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3572",0,,src/db.c,"evalGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3567,3570,3567,3570,src/db.c,"functionGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3572,3575,3572,3575,redis::clone_5::pair_1,24,4,4
18,c,code_clone_type1,libuv,/Users/a1-6/Code/Project/C_Project/libuv,,,,,23,"/Users/a1-6/Code/Project/C_Project/libuv/src/unix/ibmi.c:method=uv_get_process_title(char* buffer, size_t size)|line=536;/Users/a1-6/Code/Project/C_Project/libuv/src/unix/no-proctitle.c:method=uv_get_process_title(char* buffer, size_t size)|line=39",0,,src/unix/ibmi.c,"uv_get_process_title(char* buffer, size_t size)",536,542,536,542,src/unix/no-proctitle.c,"uv_get_process_title(char* buffer, size_t size)",39,45,39,45,libuv::clone_3::pair_1,23,7,2
19,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,53,/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_shmem.c:method=ngx_shm_free(ngx_shm_t *shm)|line=31;/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_shmem.c:method=ngx_shm_free(ngx_shm_t *shm)|line=72,0,,src/os/unix/ngx_shmem.c,ngx_shm_free(ngx_shm_t *shm),31,38,31,38,src/os/unix/ngx_shmem.c,ngx_shm_free(ngx_shm_t *shm),72,79,72,79,nginx::clone_11::pair_1,53,8,2
20,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,24,"/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=sintercardGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3552;/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=lmpopGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3577",0,,src/db.c,"sintercardGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3552,3555,3552,3555,src/db.c,"lmpopGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3577,3580,3577,3580,redis::clone_4::pair_2,24,4,4
21,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,48,/Users/a1-6/Code/Project/C_Project/nginx/src/event/ngx_event_udp.c:method=ngx_close_accepted_udp_connection(ngx_connection_t *c)|line=351;/Users/a1-6/Code/Project/C_Project/nginx/src/event/quic/ngx_event_quic_udp.c:method=ngx_quic_close_accepted_connection(ngx_connection_t *c)|line=351,0,,src/event/ngx_event_udp.c,ngx_close_accepted_udp_connection(ngx_connection_t *c),351,365,351,365,src/event/quic/ngx_event_quic_udp.c,ngx_quic_close_accepted_connection(ngx_connection_t *c),351,365,351,365,nginx::clone_1::pair_1,48,15,2
22,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,24,"/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=sintercardGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3552;/Users/a1-6/Code/Project/C_Project/redis/src/db.c:method=zunionInterDiffGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)|line=3562",0,,src/db.c,"sintercardGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3552,3555,3552,3555,src/db.c,"zunionInterDiffGetKeys(struct redisCommand *cmd, robj **argv, int argc, getKeysResult *result)",3562,3565,3562,3565,redis::clone_4::pair_1,24,4,4
23,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,47,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_log_module.c:method=ngx_http_log_copy_short(ngx_http_request_t *r, u_char *buf, ngx_http_log_op_t *op)|line=772;/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_log_module.c:method=ngx_stream_log_copy_short(ngx_stream_session_t *s, u_char *buf, ngx_stream_log_op_t *op)|line=665",0,,src/http/modules/ngx_http_log_module.c,"ngx_http_log_copy_short(ngx_http_request_t *r, u_char *buf, ngx_http_log_op_t *op)",772,788,772,788,src/stream/ngx_stream_log_module.c,"ngx_stream_log_copy_short(ngx_stream_session_t *s, u_char *buf, ngx_stream_log_op_t *op)",665,681,665,681,nginx::clone_2::pair_1,47,17,2
24,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,22,/Users/a1-6/Code/Project/C_Project/redis/src/defrag.c:method=activeDefragAlloc(void *ptr)|line=177;/Users/a1-6/Code/Project/C_Project/redis/src/defrag.c:method=activeDefragAlloc(void *ptr)|line=209,0,,src/defrag.c,activeDefragAlloc(void *ptr),177,182,177,182,src/defrag.c,activeDefragAlloc(void *ptr),209,214,209,214,redis::clone_6::pair_1,22,6,2
25,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,46,/Users/a1-6/Code/Project/C_Project/nginx/src/http/ngx_http_script.c:method=ngx_http_script_variables_count(ngx_str_t *value)|line=444;/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_script.c:method=ngx_stream_script_variables_count(ngx_str_t *value)|line=348,0,,src/http/ngx_http_script.c,ngx_http_script_variables_count(ngx_str_t *value),444,456,444,456,src/stream/ngx_stream_script.c,ngx_stream_script_variables_count(ngx_str_t *value),348,360,348,360,nginx::clone_5::pair_1,46,13,2
26,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,21,"/Users/a1-6/Code/Project/C_Project/redis/src/call_reply.c:method=callReplyNullBulkString(void *ctx, const char *proto, size_t proto_len)|line=59;/Users/a1-6/Code/Project/C_Project/redis/src/call_reply.c:method=callReplyNullArray(void *ctx, const char *proto, size_t proto_len)|line=64",0,,src/call_reply.c,"callReplyNullBulkString(void *ctx, const char *proto, size_t proto_len)",59,62,59,62,src/call_reply.c,"callReplyNullArray(void *ctx, const char *proto, size_t proto_len)",64,67,64,67,redis::clone_1::pair_1,21,4,2
27,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,30,"/Users/a1-6/Code/Project/C_Project/nginx/src/os/unix/ngx_alloc.c:method=ngx_calloc(size_t size, ngx_log_t *log)|line=34;/Users/a1-6/Code/Project/C_Project/nginx/src/os/win32/ngx_alloc.c:method=ngx_calloc(size_t size, ngx_log_t *log)|line=33",0,,src/os/unix/ngx_alloc.c,"ngx_calloc(size_t size, ngx_log_t *log)",34,46,34,46,src/os/win32/ngx_alloc.c,"ngx_calloc(size_t size, ngx_log_t *log)",33,44,33,44,nginx::clone_9::pair_1,30,13,2
28,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,19,"/Users/a1-6/Code/Project/C_Project/redis/src/modules/helloacl.c:method=HelloACL_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)|line=113;/Users/a1-6/Code/Project/C_Project/redis/src/modules/helloblock.c:method=HelloBlock_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)|line=29",0,,src/modules/helloacl.c,"HelloACL_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)",113,117,113,117,src/modules/helloblock.c,"HelloBlock_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)",29,33,29,33,redis::clone_7::pair_1,19,5,3
29,c,code_clone_type1,nginx,/Users/a1-6/Code/Project/C_Project/nginx,,,,,19,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_log_module.c:method=ngx_http_log_copy_long(ngx_http_request_t *r, u_char *buf, ngx_http_log_op_t *op)|line=791;/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_log_module.c:method=ngx_stream_log_copy_long(ngx_stream_session_t *s, u_char *buf, ngx_stream_log_op_t *op)|line=684",0,,src/http/modules/ngx_http_log_module.c,"ngx_http_log_copy_long(ngx_http_request_t *r, u_char *buf, ngx_http_log_op_t *op)",791,796,791,796,src/stream/ngx_stream_log_module.c,"ngx_stream_log_copy_long(ngx_stream_session_t *s, u_char *buf, ngx_stream_log_op_t *op)",684,689,684,689,nginx::clone_3::pair_1,19,6,2
30,c,code_clone_type1,redis,/Users/a1-6/Code/Project/C_Project/redis,,,,,19,"/Users/a1-6/Code/Project/C_Project/redis/src/modules/helloacl.c:method=HelloACL_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)|line=113;/Users/a1-6/Code/Project/C_Project/redis/src/modules/hellotype.c:method=HelloBlock_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)|line=200",0,,src/modules/helloacl.c,"HelloACL_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)",113,117,113,117,src/modules/hellotype.c,"HelloBlock_Timeout(RedisModuleCtx *ctx, RedisModuleString **argv, int argc)",200,204,200,204,redis::clone_7::pair_2,19,5,3
