sample_id,language,smell_type,project_name,project_path,file,method,begin_line,end_line,metric_value,location,is_test,evidence,class,host_class
13,c,switch_statements,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/unix/process.c,"uv__process_init_stdio(uv_stdio_container_t* container, int fds[2])",188,235,5,"/Users/a1-6/Code/Project/C_Project/libuv/src/unix/process.c:method=uv__process_init_stdio(uv_stdio_container_t* container, int fds[2])|line=188",0,switches=1;kind=switch;branches=5,,
14,c,switch_statements,lua,/Users/a1-6/Code/Project/C_Project/lua,llex.c,"read_string(LexState *ls, int del, SemInfo *seminfo)",404,464,17,"/Users/a1-6/Code/Project/C_Project/lua/llex.c:method=read_string(LexState *ls, int del, SemInfo *seminfo)|line=404",0,switches=2;kind=switch;branches=17,,
15,c,switch_statements,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/http/modules/ngx_http_ssi_filter_module.c,"ngx_http_ssi_parse(ngx_http_request_t *r, ngx_http_ssi_ctx_t *ctx)",1021,1583,20,"/Users/a1-6/Code/Project/C_Project/nginx/src/http/modules/ngx_http_ssi_filter_module.c:method=ngx_http_ssi_parse(ngx_http_request_t *r, ngx_http_ssi_ctx_t *ctx)|line=1021",0,switches=14;kind=switch;branches=20,,
16,c,switch_statements,redis,/Users/a1-6/Code/Project/C_Project/redis,deps/hiredis/sockcompat.c,_wsaErrorToErrno(int err),35,95,28,/Users/a1-6/Code/Project/C_Project/redis/deps/hiredis/sockcompat.c:method=_wsaErrorToErrno(int err)|line=35,0,switches=1;kind=switch;branches=28,,
17,c,switch_statements,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_tune.c,"rrd_tune_r(const char* in_filename, int argc, const char **argv)",184,474,19,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_tune.c:method=rrd_tune_r(const char* in_filename, int argc, const char **argv)|line=184",0,switches=1;kind=switch;branches=19,,
18,c,switch_statements,tmux,/Users/a1-6/Code/Project/C_Project/tmux,compat/unvis.c,"unvis(char *cp, char c, int *astate, int flag)",52,202,22,"/Users/a1-6/Code/Project/C_Project/tmux/compat/unvis.c:method=unvis(char *cp, char c, int *astate, int flag)|line=52",0,switches=2;kind=switch;branches=22,,
19,c,switch_statements,curl,/Users/a1-6/Code/Project/C_Project/curl,src/tool_writeout.c,"urlpart(struct per_transfer *per, writeoutid vid, const char **contentp)",81,160,21,"/Users/a1-6/Code/Project/C_Project/curl/src/tool_writeout.c:method=urlpart(struct per_transfer *per, writeoutid vid, const char **contentp)|line=81",0,switches=1;kind=switch;branches=21,,
20,c,switch_statements,libssh2,/Users/a1-6/Code/Project/C_Project/libssh2,vms/man2help.c,"main(int argc, char **argv)",506,572,3,"/Users/a1-6/Code/Project/C_Project/libssh2/vms/man2help.c:method=main(int argc, char **argv)|line=506",0,switches=1;kind=switch;branches=3,,
21,c,switch_statements,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/idna.c,"uv__utf8_decode1_slow(const char** p, const char* pe, unsigned a)",71,135,4,"/Users/a1-6/Code/Project/C_Project/libuv/src/idna.c:method=uv__utf8_decode1_slow(const char** p, const char* pe, unsigned a)|line=71",0,switches=1;kind=switch;branches=4,,
22,c,switch_statements,lua,/Users/a1-6/Code/Project/C_Project/lua,ldump.c,"dumpConstants(DumpState *D, const Proto *f)",181,204,5,"/Users/a1-6/Code/Project/C_Project/lua/ldump.c:method=dumpConstants(DumpState *D, const Proto *f)|line=181",0,switches=1;kind=switch;branches=5,,
23,c,switch_statements,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/stream/ngx_stream_ssl_preread_module.c,"ngx_stream_ssl_preread_parse_record(ngx_stream_ssl_preread_ctx_t *ctx, u_char *pos, u_char *last)",209,499,19,"/Users/a1-6/Code/Project/C_Project/nginx/src/stream/ngx_stream_ssl_preread_module.c:method=ngx_stream_ssl_preread_parse_record(ngx_stream_ssl_preread_ctx_t *ctx, u_char *pos, u_char *last)|line=209",0,switches=1;kind=switch;branches=19,,
24,c,switch_statements,redis,/Users/a1-6/Code/Project/C_Project/redis,src/cluster_asm.c,asmTaskStateToString(int state),221,259,27,/Users/a1-6/Code/Project/C_Project/redis/src/cluster_asm.c:method=asmTaskStateToString(int state)|line=221,0,switches=1;kind=switch;branches=27,,
25,c,switch_statements,rrdtool,/Users/a1-6/Code/Project/C_Project/rrdtool,src/rrd_dump.c,"rrd_dump_cb_r(const char *filename, int opt_header, rrd_output_callback_t cb, void *user)",56,465,11,"/Users/a1-6/Code/Project/C_Project/rrdtool/src/rrd_dump.c:method=rrd_dump_cb_r(const char *filename, int opt_header, rrd_output_callback_t cb, void *user)|line=56",0,switches=2;kind=switch;branches=11,,
26,c,switch_statements,tmux,/Users/a1-6/Code/Project/C_Project/tmux,colour.c,colour_tostring(int c),124,183,18,/Users/a1-6/Code/Project/C_Project/tmux/colour.c:method=colour_tostring(int c)|line=124,0,switches=1;kind=switch;branches=18,,
27,c,switch_statements,curl,/Users/a1-6/Code/Project/C_Project/curl,lib/vssh/libssh2.c,sftp_libssh2_strerror(unsigned long err),62,126,20,/Users/a1-6/Code/Project/C_Project/curl/lib/vssh/libssh2.c:method=sftp_libssh2_strerror(unsigned long err)|line=62,0,switches=1;kind=switch;branches=20,,
28,c,switch_statements,libuv,/Users/a1-6/Code/Project/C_Project/libuv,src/unix/process.c,"uv__spawn_resolve_and_spawn(const uv_process_options_t* options, posix_spawnattr_t* attrs, posix_spawn_file_actions_t* actions, pid_t* pid)",678,775,4,"/Users/a1-6/Code/Project/C_Project/libuv/src/unix/process.c:method=uv__spawn_resolve_and_spawn(const uv_process_options_t* options, posix_spawnattr_t* attrs, posix_spawn_file_actions_t* actions, pid_t* pid)|line=678",0,switches=1;kind=switch;branches=4,,
29,c,switch_statements,lua,/Users/a1-6/Code/Project/C_Project/lua,llex.c,"read_long_string(LexState *ls, SemInfo *seminfo, size_t sep)",297,333,5,"/Users/a1-6/Code/Project/C_Project/lua/llex.c:method=read_long_string(LexState *ls, SemInfo *seminfo, size_t sep)|line=297",0,switches=1;kind=switch;branches=5,,
30,c,switch_statements,nginx,/Users/a1-6/Code/Project/C_Project/nginx,src/event/quic/ngx_event_quic.c,"ngx_quic_handle_frames(ngx_connection_t *c, ngx_quic_header_t *pkt)",1174,1443,18,"/Users/a1-6/Code/Project/C_Project/nginx/src/event/quic/ngx_event_quic.c:method=ngx_quic_handle_frames(ngx_connection_t *c, ngx_quic_header_t *pkt)|line=1174",0,switches=3;kind=switch;branches=18,,
